SUBJ_NUM,GROUP,TRIAL_RT
1,NT,0.192281559689417
1,NT,0.176626344620683
1,NT,NaN
1,NT,0.202122649680679
1,NT,0.198935210551912
1,NT,0.185539368851123
1,NT,0.20681526839803
1,NT,0.173528087061743
1,NT,0.177038889580385
1,NT,0.179877943152203
1,NT,0.174918742116413
1,NT,NaN
1,NT,NaN
1,NT,0.185791836100956
1,NT,0.172903174478929
1,NT,NaN
1,NT,0.154272887904541
1,NT,0.183215515283411
1,NT,0.247068556888218
1,NT,0.179611360833764
2,NT,0.247945936720864
2,NT,0.205091305246058
2,NT,0.19738928974258
2,NT,0.155868532251007
2,NT,0.210750164568868
2,NT,0.187912625158955
2,NT,0.217561005968108
2,NT,0.222117285954609
2,NT,NaN
2,NT,0.261652309930977
2,NT,0.280269443827801
2,NT,0.216863593260183
2,NT,0.281296315068862
2,NT,NaN
2,NT,0.247107694123897
2,NT,0.268348305999289
2,NT,0.313217221923525
2,NT,0.262428317907274
2,NT,0.271394273644985
2,NT,0.184772984785239
3,NT,0.241407131189297
3,NT,0.17661158795805
3,NT,0.20160552489449
3,NT,NaN
3,NT,0.200456109194171
3,NT,0.201398931617625
3,NT,0.205984724929393
3,NT,0.1805304442782
3,NT,NaN
3,NT,0.178246048743181
3,NT,NaN
3,NT,0.219443442844879
3,NT,0.243741891855477
3,NT,0.265670613325395
3,NT,0.197428106181245
3,NT,0.219889671491026
3,NT,0.187363741468404
3,NT,0.200902337840317
3,NT,0.247549431611851
3,NT,0.228090205553895
4,NT,0.239155261761579
4,NT,0.203096278550224
4,NT,0.189776423011998
4,NT,NaN
4,NT,0.226788818006779
4,NT,0.276485888414892
4,NT,0.186510698935528
4,NT,0.211600634666848
4,NT,0.175775834026792
4,NT,0.190368616199146
4,NT,0.176554731674893
4,NT,NaN
4,NT,NaN
4,NT,0.168350000930314
4,NT,0.199626847716527
4,NT,0.190130584051333
4,NT,0.26648789661064
4,NT,0.193184581419506
4,NT,NaN
4,NT,0.251720600302962
5,NT,0.315976448290884
5,NT,0.241024231159371
5,NT,0.249264891284751
5,NT,0.239332983877332
5,NT,NaN
5,NT,0.27216794675779
5,NT,0.285508974966846
5,NT,0.216093090459274
5,NT,0.226796196361765
5,NT,NaN
5,NT,0.244246968298096
5,NT,0.252199230982932
5,NT,0.275171258035189
5,NT,0.248241866326022
5,NT,0.258039359353476
5,NT,0.28989524660708
5,NT,0.214071421193074
5,NT,0.304935862847288
5,NT,0.252357705216112
5,NT,NaN
6,NT,0.248738461696393
6,NT,0.270820274179671
6,NT,NaN
6,NT,0.235799714233103
6,NT,NaN
6,NT,NaN
6,NT,0.256847594624195
6,NT,0.283279749366905
6,NT,0.24777414277951
6,NT,0.253366294262912
6,NT,0.286834191681963
6,NT,NaN
6,NT,0.278419979815387
6,NT,0.266555264199644
6,NT,0.287329503860163
6,NT,NaN
6,NT,0.289185962134282
6,NT,NaN
6,NT,0.296234536732338
6,NT,0.255867235805168
7,NT,0.321138409598791
7,NT,0.214568337361488
7,NT,0.238714806048711
7,NT,0.250067848786068
7,NT,0.265452681326282
7,NT,0.267952981272452
7,NT,NaN
7,NT,0.2021720593887
7,NT,NaN
7,NT,0.27752655726598
7,NT,0.366631421655023
7,NT,0.244338395740315
7,NT,0.308131011354326
7,NT,0.346493966109612
7,NT,0.248995100130693
7,NT,0.243325315520915
7,NT,0.270521290403712
7,NT,0.339447316299813
7,NT,0.270511345664382
7,NT,0.450632068383877
8,NT,0.265841598133731
8,NT,0.271092082858019
8,NT,NaN
8,NT,NaN
8,NT,0.246417018153261
8,NT,NaN
8,NT,NaN
8,NT,0.249867831630329
8,NT,NaN
8,NT,0.33033815854815
8,NT,0.257557656847284
8,NT,0.268048360791419
8,NT,0.26320592986864
8,NT,0.258910137057316
8,NT,0.328897138362318
8,NT,0.284161673995809
8,NT,NaN
8,NT,0.22262189965726
8,NT,0.231220542814211
8,NT,0.29960355905039
9,NT,0.314999024770821
9,NT,0.341332778992537
9,NT,0.34918882746656
9,NT,NaN
9,NT,0.317566379743977
9,NT,0.376824063523349
9,NT,NaN
9,NT,0.304385387473951
9,NT,0.249729245583238
9,NT,NaN
9,NT,0.380686484350138
9,NT,NaN
9,NT,0.448026059150216
9,NT,NaN
9,NT,0.291759698397544
9,NT,0.31267708108774
9,NT,0.273997374580395
9,NT,0.361082132261608
9,NT,0.316837203453338
9,NT,0.342237432375556
10,NT,0.407962695156863
10,NT,0.236446646965453
10,NT,0.25972592386332
10,NT,NaN
10,NT,0.348054815227336
10,NT,0.229783051395531
10,NT,0.262904380675701
