Subject,Group,Phase,Entropy
4,NT,Lift 2,2.27830052751673
4,NT,Lift 2,2.08107444191269
4,NT,Lift 2,2.59981895302088
4,NT,Lift 2,2.34926091252153
4,NT,Lift 2,2.1870956231935
4,NT,Lift 2,1.9406281425786
4,NT,Lift 2,1.71154155380079
4,NT,Lift 2,2.05601229672531
4,NT,Lift 2,1.92182932268915
4,NT,Lift 2,2.03183081346613
4,NT,Lift 2,2.13209033449289
4,NT,Lift 2,1.61350314096832
4,NT,Lift 2,2.03190101134417
5,NT,Preparation,1.85354003732054
5,NT,Preparation,2.14718345480026
5,NT,Preparation,2.38430346297524
5,NT,Preparation,1.81961063981506
5,NT,Preparation,2.09481109117429
5,NT,Preparation,1.7249783579839
5,NT,Preparation,2.14535682304599
5,NT,Preparation,1.45359150821107
5,NT,Preparation,1.43431919279105
5,NT,Preparation,2.18916303811627
5,NT,Lift 1,2.31636988654067
5,NT,Lift 1,2.59728149553089
5,NT,Lift 1,2.00392021768441
5,NT,Lift 1,1.95944833436104
5,NT,Lift 1,2.02597538594212
5,NT,Lift 1,2.40912798201424
5,NT,Lift 1,1.76478674361918
5,NT,Lift 1,1.65600530128049
5,NT,Lift 1,2.17463818039584
5,NT,Lift 1,2.17124347364929
5,NT,Lift 2,2.23950773233874
5,NT,Lift 2,2.24934133336483
5,NT,Lift 2,1.57948416557
5,NT,Lift 2,2.33600217238744
5,NT,Lift 2,2.54909530627545
5,NT,Lift 2,1.60254098088104
5,NT,Lift 2,2.01949662852633
5,NT,Lift 2,2.19254994041959
5,NT,Lift 2,2.38837334019206
5,NT,Lift 2,2.17891761379533
6,NT,Preparation,2.41695281099208
6,NT,Preparation,2.08280652010372
6,NT,Preparation,2.11465670988213
6,NT,Preparation,2.30403815543499
6,NT,Preparation,1.59893181511561
6,NT,Preparation,2.13824087632716
6,NT,Preparation,1.50027395130848
6,NT,Preparation,1.97735773311237
6,NT,Preparation,2.47732495057498
6,NT,Preparation,2.08107598337767
6,NT,Preparation,2.13485386019508
6,NT,Preparation,1.36157259581486
6,NT,Lift 1,1.39943854198973
6,NT,Lift 1,1.33633466792216
6,NT,Lift 1,2.06084306770529
6,NT,Lift 1,1.68828377556238
6,NT,Lift 1,2.20329631178865
6,NT,Lift 1,1.55851141567605
6,NT,Lift 1,2.37354235689458
6,NT,Lift 1,1.15574836447191
6,NT,Lift 1,1.74209128973047
6,NT,Lift 1,2.03766078797442
6,NT,Lift 1,1.65429040764993
6,NT,Lift 1,1.30554351738248
6,NT,Lift 2,2.05990854972696
6,NT,Lift 2,2.09597539549608
6,NT,Lift 2,2.40762046073356
6,NT,Lift 2,2.03041527175357
6,NT,Lift 2,2.26962322755912
6,NT,Lift 2,1.25760537839127
6,NT,Lift 2,2.35352769504309
6,NT,Lift 2,2.32537424683028
6,NT,Lift 2,2.35106403650859
6,NT,Lift 2,2.33334593106124
6,NT,Lift 2,1.63201584590459
6,NT,Lift 2,2.15453166348288
7,NT,Preparation,2.10330604301406
7,NT,Preparation,2.25674721944621
7,NT,Preparation,2.30017700459908
7,NT,Preparation,1.95465639937624
7,NT,Preparation,2.33942061538142
7,NT,Preparation,2.1431550122202
7,NT,Preparation,2.25807767878844
